Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C4",0805,3,10u,C440198
"C10, C8",0402,2,1u,C29266
"C11, C12, C13, C14, C15, C16, C5, C6, C7, C9",0402,10,100n,C60474
"C2, C3",0402,2,15p,C86285
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle,C2765186
"R1, R5",0402,2,1k,C106235
R2,0402,1,10k,C60490
"R3, R4",0402,2,27,C138021
"R6, R7",0402,2,5.1k,C105872
SW1,DDR_CONTACT_MIRROR,1,DDR_North,
SW2,DDR_CONTACT,1,DDR_South,
SW3,DDR_CONTACT,1,DDR_East,
SW4,DDR_CONTACT,1,DDR_West,
U1,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C26537
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C113767
U3,RP2040-QFN-56,1,RP2040,C2040
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
