Designator,Mid X,Mid Y,Rotation,Layer
C1,-93.3125,86.5,0.0,top
C10,-58.5,68.985,90.0,top
C11,-68.985,65.5,180.0,top
C12,-56.015,61.3,0.0,top
C13,-68.985,61.3,180.0,top
C14,-62.119,56.015,270.0,top
C15,-56.015,66.5,0.0,top
C16,-56.015,67.9,0.0,top
C17,-78.575,86.4,0.0,top
C2,-63.8,53.0,180.0,top
C3,-61.2,53.0,0.0,top
C4,-92.225,74.75,0.0,top
C5,-85.81,42.785,270.0,top
C6,-63.5,69.985,90.0,top
C7,-61.0,56.015,270.0,top
C8,-59.5,68.985,90.0,top
C9,-62.5,69.985,90.0,top
J2,-93.37,37.71,270.0,top
J3,-87.5,95.25,180.0,top
R1,-86.325,37.6,180.0,top
R2,-86.325,36.1,0.0,top
R3,-61.5,68.985,270.0,top
R4,-60.5,68.985,270.0,top
R5,-63.2,56.0,270.0,top
R6,-86.25,89.25,270.0,top
R7,-89.25,89.26,270.0,top
SW1,-62.5,87.5,0.0,top
SW2,-62.5,37.5,180.0,top
SW3,-37.5,62.5,270.0,top
SW4,-87.5,62.5,90.0,top
U1,-93.25,80.15,90.0,top
U2,-81.365,39.65,0.0,top
U3,-62.5,62.5,0.0,top
Y1,-62.5,50.2,0.0,top
